id_candidat,SEMESTRE,ANNEE_SEMESTRE,MODULE,NOTE_MODULE
2975,S1,2011/2012,LANGUE 1 ET METHODOLOGIE,13.8
2975,S1,2011/2012,ANALYSE 1,5
2975,S1,2011/2012,ALGEBRE1,8
2975,S1,2011/2012,PHYSIQUE 1,14.65
2975,S2,2011/2012,LANGUE 2 ET INFORMATIQUE 1,10.53
2975,S2,2011/2012,ANALYSE2,13
2975,S2,2011/2012,ALGEBRE2,15
2975,S2,2011/2012,PHYSIQUE 2,13.13
2975,S3,2012/2013,LANGUE 3 ET INFORMATIQUE 3,13.25
2975,S3,2013/2014,ANALYSE 3 ,11
2975,S3,2012/2013,ARCHITECTURES DES ORDINATEURS ET ASSEMBLEUR,10.25
2975,S3,2013/2014,PHYSIQUE 3,13
2975,S4,,TEC ET INFORMATIQUE4,16.63
2975,S4,2013/2014,SYSTEME D'EXPLOITATION,13.21
2975,S4,,ALGORITHMES ET STRUCTURES DE DONNEES,16.99
2975,S4,2013/2014,MATHEMATIQUES,10
2975,S5,2013/2014,SYSTEME D'INFORMATION ET BASES DE DONNEES ,12.38
2975,S5,2013/2014,PROGRAMMATION ORIENTE OBJET ET THEORIE DES LANGUAGES,11.5
2975,S5,,RESEAUX,17.5
2975,S5,,RECHERCHE OPERATIONNELLE,11.4
2975,S6,2013/2014,INGENIEURIE LOGICIELLE OBJET,11.25
2975,S6,2013/2014,INFORMATIQUE DECISIONNELLE,14.48
2975,S6,,BD2 PLSQL,14.8
2975,S6,,WEB,15.5
2975,S6,,PROJET TUTORE1,15.75
2975,S6,,PROJET TUTORE2,15.75
3634,S1,2008/2009,CLASSES PREPARATOIRES - CPGE (FILIERE: MPSI),10.00
3634,S2,2009/2010,CLASSES PREPARATOIRES - CPGE (FILIERE: MP),10.00
3634,S3,2012/2013,LANGUES,13.00
3634,S3,2012/2013,INFORMATIQUE 3,17.70
3634,S3,2012/2013,ANALYSE 3,10
3634,S3,2012/2013,ARCHITECTURE DES ORDINATEURS,10.90
3634,S3,2012/2013,MECANIQUE DE SOLIDE,12.50
3634,S3,2012/2013,ELECTROMAGNETISME,13.00
3634,S4,2012/2013,LANGUES,15.00
3634,S4,2012/2013,INFORMATIQUE 3,15.40
3634,S4,2012/2013,SYSTEME D'EXPLOITATION & PROJET,15.05
3634,S4,2012/2013,ALGORITHMES & STRUCTURE DE DONNEES,14.55
3634,S4,2012/2013,PROBABILITE & STATISTIQUES,7.50
3634,S4,2012/2013,METHODES NUMERIQUES & PROGRAMATION,11.50
3634,S5,2014/2015,BASES DE DONNEES,14.75
3634,S5,2014/2015,COMPILATION,15.38
3634,S5,2014/2015,RESEAUX,13.63
3634,S5,2014/2015,RECHERCHE OPERATIONNELLE,13.36
3634,S5,2014/2015,CONCEPTION ORIENTEE OBJET (UML),10.66
3634,S5,2013/2014,PROGRAMATION ORIENTEE OBJET (LANGUE: JAVA OU C++),11.38
3634,S6,2014/2015,BASES DE DONNEES ET PROGRAMMATION WEB,10.25
3634,S6,2014/2015,INTERFACE HOMME MACHINE,10.50
3634,S6,2014/2015,ADMINISTRATION DES RESEAUX INFORMATIQUES,11.44
3634,S6,2014/2015,INTERCONNEXION DE RESEAUX,6.31
3634,S6,2014/2015,PROJET TUTORE,14.00
3634,S6,2014/2015,PROJET TUTORE,14.00
3416,S1,2013,LANGUE 1 & METHODOLOGIE,18.05
3416,S1,2013,ANALYSE 1,17.5
3416,S1,2013,ALGEBRE 1,13
3416,S1,2013,PHYSIQUE 1,10.05
3416,S2,2013,LANGUE 2 & INFORMATIQUE 1,15.84
3416,S2,2013,ANALYSE 2,11
3416,S2,2013,ALGEBRE 2,17
3416,S2,2013,PHYSIQUE 2,13.53
3416,S3,2014,LANGUE N3 INFORMATIQUE 3,13
3416,S3,2014,ANALYSE 3,10.05
3416,S3,2014,ARCHITECTURE DES ORDINATEURS ET ASSEMBLEUR,17.63
3416,S3,2014,PHYSIQUE 3,14
3416,S4,2014,TEC ET INFORMATIQUE 4,16.59
3416,S4,2014,SYSTEME D'EXPLOITATION ET PROJET,14.36
3416,S4,2014,ALGORITHMES ET STRUCTURES DE DONNEES,18.02
3416,S4,2014,MATHEMATIQUES,13.75
3416,S5,2015,BASES DE DONNEES,14.65
3416,S5,2015,COMPILATION,11.88
3416,S5,2015,RESEAUX,15.35
3416,S5,2015,RECHERCHE OPERATIONNELLE,10.25
3416,S5,2015,CONCEPTION ORIENTEE OBJETS (UML),14.63
3416,S5,2015,PROGRAMATION ORIENTEE OBJETS,15
3416,S6,2015,PROGRAMATION RESEAUX,14.45
3416,S6,2015,BD2(PLSQL),18.2
3416,S6,2015,WEB DYNAMIQUE (PHP),15
3416,S6,2015,GESTION DE PROJET,13.2
3416,S6,2015,PROJET TUTORE  1,16
3416,S6,2015,PROJET TUTORE  2,16
3337,S1,2011/2012,LANGUES ET METHODOLOGIE (LANGUE),10
3337,S1,2011/2012,LANGUES ET METHODOLOGIE (METHODOLOGIE),7.5
3337,S1,2011/2012,PHYSIQUE1(MCANIQUE1  ),6.875
3337,S1,2011/2012,PHYSIQUE1(THERMODYNAMIQUE  ),11.5
3337,S1,2011/2012,ALGEBRE1,10.5
3337,S1,2011/2012,ANALYSE1,14
3337,S2,2011/2012,LANGUES ET INFORMATIQUE (LANGUE),8.5
3337,S2,2011/2012,LANGUES ET INFORMATIQUE (INFO),13.8
3337,S2,2012/2013,PHYSIQUE2(OPTIQUE GEOMETRIQUE ),13.37
3337,S2,2012/2013,PHYSIQUE2(ELECTRICITE1),4.125
3337,S2,2011/2012,ANALYSE2,11
3337,S2,2012/2013,ALGEBRE2,13.5
3337,S3,2012/2013,ARCHIT-ORDINATEURS,11.5
3337,S3,2013/2014,MECANIQUE2 ET ELECRICITE (MECANIQUE),14
3337,S3,2013/2014,MECANIQUE2 ET ELECRICITE(ELECTROM),3.6
3337,S3,2013/2014,LANGUE ET INFORMATIQUE (LANGUES),12
3337,S3,2013/2014,LANGUE ET INFORMATIQUE (INFO),18.4
3337,S3,2013/2014,ANALYSE 3 ,10
3337,S4,2012/2013,SYS.D'EXPLOITATION ET PROJET,11.1
3337,S4,2012/2013,ALGORITHMIQUE ET STRUCTURE DE DONNEE,10.05
3337,S4,2013/2014,LANGUES ET INFORMATIQUE (LANGUES),11
3337,S4,2013/2014,LANGUES ET INFORMATIQUE (INFO),9
3337,S4,2013/2014,MATHEMATIQUE (PROBA&STATISTIQUE),10
3337,S4,2013/2014,MATHEMATIQUE (METH.NUM & PROGRAMMATION),13
3337,S5,2013/2014,BASE DE DONNEES,13.75
3337,S5,2014/2015,COMPILATION,12.8
3337,S5,2014/2015,RESEAUX,16.675
3337,S5,2013/2014,RECHERCHE OPERATIONELLE,16.5
3337,S5,2014/2015,UML,13
3337,S5,2014/2015,JAVA,15.3
3337,S6,2013/2014,TECHNOLOGIE DE WEB,14.75
3337,S6,2014/2015,PROGRAMATION SYSTEME,14
3337,S6,2014/2015,BASE DE DONNEES AVANCEE,13
3337,S6,2014/2015,PT1,15.87
3337,S6,2014/2015,PT2,15.87
3337,S6,2014/2015,RESEAUX,14.5
2222,S1,2010/2011,"LANGUE, MTU,INFORMATIQUE",
2222,S1,2010/2011,PHYSIQUE1,
2222,S1,2010/2011,ANALYSE1,
2222,S1,2010/2011,ALGEBRE1,
2222,S2,2010/2011,"LANGUE2,INFORMATIQUE",
2222,S2,2010/2011,ALGEBRE2,
2222,S2,2011/2012,ANALYSE2,
2222,S2,2011/2012,PHYSIQUE2,
2222,S3,2013/2014,PROJET EN ASSEMBLEUR,
2222,S3,2012/2013,ARCHITECTURE DES ORDINATEURS,
2222,S3,2013/2014,PHYSIQUE3,
2222,S3,2012/2013,ANALYSE3,
2222,S3,2011/2012,"LANGUE3, INFORMATIQUE3",
2222,S4,2012/2013,PROBABILITE STATISTIQUE ET METHODE NUMERIQUE,
2222,S4,2012/2013,SYSTEME D'EXPLOITATION ET PROJET,
2222,S4,2013/2014,ALGORITHMIQUE ET STRUCTURES DE DONNEES,
2222,S4,2011/2012,"LANGUE4,TEC,INFORMATIQUE4",
2222,S5,2014/2015,BASE DE DONEE,
2222,S5,2013/2014,COMPILATION,
2222,S5,2014/2015,RESEAUX,
2222,S5,2014/2015,RECHERCHE OPERATIONNELLE,
2222,S5,2014/2015,C.O.O UML,
2222,S5,2014/2015,P.O.O EN C++,
2222,S6,2013/2014,BASE DE DONNEES2,
2222,S6,2014/2015,PROJET TUTORE,
2222,S6,2014/2015,PROGRAMMATION SYSTEMES,
2222,S6,2014/2015,PROJET TUTORE,
2222,S6,2014/2015,RESEAUX2,
2222,S6,2014/2015,P.O.O EN JAVA,
3137,S1,2010/2011,TRANSVERSALE,11.2
3137,S1,2012/2013,ANALYSE 1,6.6
3137,S1,2012/2013,ALGEBRE 1,10
3137,S1,2011/2012,PHYSIQUE 1,12.334
3137,S2,2010/2011,TRANSVERSALE 2 ,10.834
3137,S2,2012/2013,ANALYSE 2,11
3137,S2,2012/2013,ALGEBRE 2,9.5
3137,S2,2011/2012,PHYSIQUE 2,11.667
3137,S3,2014/2015,PROBABILITES-STATISTIQUES,11.5
3137,S3,2014/2015,TECHNOLOGIE DU WEB,9.5
3137,S3,2014/20015,ELECTRONIQUE,11.25
3137,S3,2011/2012,PROGRAMATION C,9.167
3137,S3,2013/2014,ALGORITHMIQUE ET STRUCTUR DE DONNEES,10.667
3137,S3,2013/2014,SYSTEMES D'EXPLOITATION,10
3137,S4,2014/2015,PROGRAMATION 2,10.833
3137,S4,2014/2015,ANALYSE-NUMERIQUE,6.667
3137,S4,2013/2014,ALGORITHMIQUE ET STRUCTUR DE DONNEES,10.667
3137,S4,2013/2014,SYSTEMES D'EXPLOITATION,10
3137,S4,2012/2013,ARCHITECTURE DES ORDINATEURS,13.667
3137,S4,2013/2014,ELECTROMANITISME,10.833
3137,S5,2014/2015,BASE DE DONNEES,10.667
3137,S5,2014/2015,COMPILATION,12.167
3137,S5,2014/2015,RESEAUX,14.167
3137,S5,2014/2015,RECHERCHE OPERATIONNELLE,12.333
3137,S5,2014/2015,CONCEPTION ORIENTEE OBJETS (UML),14
3137,S5,2014/2015,PROGRAMATION ORIENTEE OBJET,11.417
3137,S6,2014/2015,INTERCONNECTION DES RESEAUX,16.417
3137,S6,2014/2015,ADMISTRATION DES SERVICES RESEAUX,16.667
3137,S6,2014/2015,ADMISTRATION DES SYSTEMES LINUX,12.583
3137,S6,2014/2015,SECURITE DES RESEAUX,15.5
3137,S6,2014/2015,PROJET TUTORIE 1,13.875
3137,S6,2014/2015,PROJET TUTORIE 2,13.875
2687,S1,2011/2012,ANALYSE 1,17
2687,S1,2011/2012,ALGEBRE 1,10
2687,S1,2011/2012,PHYSIQUE 1,10
2687,S1,2011/2012,LANGUE / METHODOLOGIE / INFORMATIQUE,14.25
2687,S2,2011/2012,ANALYSE 2,12.5
2687,S2,2011/2012,ALGEBRE 2,10.7
2687,S2,2011/2012,PHYSIQUE 2,7.575
2687,S2,2011/2012,LANGUE 2 / INFORMATIQUE,13.954
2687,S3,2013/2014,LANGUE 2 / INFORMATIQUE 2,10
2687,S3,2012/2013,ARCHITECTURE DES ORDINATEURS ET PROJET EN ASSEMBLEUR,10.05
2687,S3,2012/2013,PHYSIQUE 3,10
2687,S3,2013/2014,ANALYSE 3,10
2687,S4,2012/2013,LANGUE 2 / INFORMATIQUE 2 ,12.538
2687,S4,2012/2013,SYSTEME D'EXPLOITATION ET PROJET LINUX,10.216
2687,S4,2013/2014,ALGORITHMES ET STRUCTURE DE DONNEES ,7.3
2687,S4,2013/2014,MATHEMATIQUES ,10
2687,S5,2014/2015,COMPILATION,8.25
2687,S5,2014/2015,RESEAUX,10.35
2687,S5,2014/2015,RECHERCHE OPERATIONNELLE,10
2687,S5,2013/2014,UML,10
2687,S5,2013/2014,MERISE,10
2687,S5,2014/2015,PROGRAMMATION ORIENTE OBJETS LANGAGE C++,11.5
2687,S6,2013/2014,CONCEPTION ET DEVELOPPEMENT D'APPLICATION WEB,8
2687,S6,2013/2014,DBA,6.617
2687,S6,2013/2014,ENTREPRENARIAT,13.5
2687,S6,2013/2014,PFE,16
716,S1,2010/2011,LANGUE 1,12.15
716,S1,2013/2014,ANALYSE1,7
716,S1,2012/2013,ALGEBRE1,10
716,S1,2010/2011,PHYSIQUE1,10.85
716,S2,2010/2011,LANGUE 2,15.88
716,S2,2011/2012,ANALYSE2,12
716,S2,2011/2012,ALGEBRE2,6
716,S2,2010/2012,PHYSIQUE2,10.03
716,S3,2012/2013,LANGUE ET PROGROGRAMMATION C,15.42
716,S3,2012/2013,ARCHITECTURE DES ORDINATEURS,11.49
716,S3,2011/2012,SYSTEME D'INFORMATION,11
716,S3,2012/2013,RESEAU/ WIN SERVER,14.33
716,S4,2012/2013,TECHNIQUE D ESXPRESSION ET COMMUNICATION,15
716,S4,2012/2013,SYSTEME D EXPLOITATION ,9.5
716,S4,2012/2013,DEVELOPPEMENT WEB ET DB MYSQL,15
716,S4,2012/2013,STRUCTURE DE DONNEES,11.12
716,S5,2013/2014,ADMINISTRATION SQL SERVER,13.5
716,S5,2013/2014,PROGRAMMATION SQL SERVER,12.38
716,S5,2013/2014,JAVA,9.5
716,S5,2013/2014,INSERTION PROFESSIONNELLE 1,17.25
716,S5,2013/2014,NAN,
716,S5,2013/2014,NAN,
716,S5,2013/2014,NAN,
716,S5,2013/2014,NAN,
716,S6,2013/2014,INSERTION PROFESSIONNELLE 2 ,16.2
716,S6,2013/2014,INSERTION PROFESSIONNELLE 2 ,16.2
716,S6,2013/2014,ORACLE,14.5
716,S6,2013/2014,PLSQL/XML,13.31
2594,S1,2014-2015,ANALYSE1,10
2594,S1,2014-2015,ALGEBRE1,10
2594,S1,2014-2015,PHYSIQUE1,10.18
2594,S1,2014-2015,PHYSIQUE2,10.18
2594,S1,2014-2015,INFORMATIQUE1,12.45
2594,S1,2014-2015,LANGUE ET TERMINOLOGIE1,12.45
2594,S1,2014-2015,ALGEBRE2,10
2594,S2,,NAN,
2594,S2,2014-2015,ANALYSE2,10.26
2594,S2,2014-2015,ANALYSE3,10.26
2594,S2,2014-2015,ALGEBRE3,10.26
2594,S2,2014-2015,PHYSIQUE3,10.26
2594,S2,2014-2015,PHYSIQUE4,10.26
2594,S2,2014-2015,INFORMATIQUE2,10.26
2594,S2,2014-2015,LANGUE ET TERMINOLOGIE2,10.26
2594,S3,,NAN,
2594,S3,2014-2015,PROGRAMMATION1,12.13
2594,S3,2014-2015,ALGORITHMIQUE2,12.13
2594,S3,2014-2015,SYSTEME D'EXPLOITATION1,13.83
2594,S3,2014-2015,PROBABILITES-STATISTIQUES,5
2594,S3,2014-2015,TECHNOLOGIE DU WEB,13.88
2594,S3,2014-2015,ELECTRONIQUE,12.5
2594,S4,,NAN,
2594,S4,2014-2015,PROGRAMMATION2,14.63
2594,S4,2014-2015,STRUCTURES DE DONNEES,16.67
2594,S4,2014-2015,SYSTEME D'EXPLOITATION2,13.83
2594,S4,2014-2015,ANALYSE NUMERIQUE,10
2594,S4,2014-2015,ARCHITECTURE DES ORDINATEURS,12.5
2594,S4,2014-2015,ELECTROMAGNETISME,11
2594,S5,2014-2015,BASES DE DONNEES,13.8
2594,S5,2014-2015,COMPILATION,7.88
2594,S5,2014-2015,RESEAUX,11.2
2594,S5,2014-2015,RECHERCHE OPERATIONNELLE,7.7
2594,S5,2014-2015,CONCEPTION ORIENTEE OBJETS (UML),14.88
2594,S5,2014-2015,PROGRAMMATION ORIENTEE OBJETS,14
2594,S6,2014-2015,PROGRAMMATION RESEAU,10.9
2594,S6,2014-2015,BD2(PLSQL),15.7
